_id,ANNO,COD_ATENEO,NOME_ATENEO,Reg_ATENEO,AREA_GEO,GENERE,COD_QUALIFICA,DESC_QUALIFICA,N_PERS
173,2020,3202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),7
174,2020,3202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,4
175,2020,3202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,NORD-EST,F,4AR,Titolare di assegno di ricerca,35
176,2020,3202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),64
177,2020,3202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,16
178,2020,3202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,NORD-EST,M,4AR,Titolare di assegno di ricerca,79
179,2020,3401,Parma - Università degli studi,Emilia-Romagna,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),212
180,2020,3401,Parma - Università degli studi,Emilia-Romagna,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,118
181,2020,3401,Parma - Università degli studi,Emilia-Romagna,NORD-EST,F,4AR,Titolare di assegno di ricerca,94
182,2020,3401,Parma - Università degli studi,Emilia-Romagna,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),405
183,2020,3401,Parma - Università degli studi,Emilia-Romagna,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,140
184,2020,3401,Parma - Università degli studi,Emilia-Romagna,NORD-EST,M,4AR,Titolare di assegno di ricerca,84
185,2020,3601,Modena e Reggio Emilia - Università degli studi,Emilia-Romagna,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),215
186,2020,3601,Modena e Reggio Emilia - Università degli studi,Emilia-Romagna,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,105
